new_filename,page_journal,page_docx,number,url
Svoboda_AR50,50,91,11651,https://digitalcollections.lib.washington.edu/digital/api/singleitem/image/iraqdiaries/11651/default.jpg
Svoboda_AR51,51,90,11652,https://digitalcollections.lib.washington.edu/digital/api/singleitem/image/iraqdiaries/11652/default.jpg
Svoboda_AR52,52,89,11653,https://digitalcollections.lib.washington.edu/digital/api/singleitem/image/iraqdiaries/11653/default.jpg
Svoboda_AR53,53,88,11654,https://digitalcollections.lib.washington.edu/digital/api/singleitem/image/iraqdiaries/11654/default.jpg
Svoboda_AR54,54,87,11655,https://digitalcollections.lib.washington.edu/digital/api/singleitem/image/iraqdiaries/11655/default.jpg
Svoboda_AR55,55,86,11656,https://digitalcollections.lib.washington.edu/digital/api/singleitem/image/iraqdiaries/11656/default.jpg
Svoboda_AR56,56,85,11657,https://digitalcollections.lib.washington.edu/digital/api/singleitem/image/iraqdiaries/11657/default.jpg
Svoboda_AR57,57,84,11658,https://digitalcollections.lib.washington.edu/digital/api/singleitem/image/iraqdiaries/11658/default.jpg
Svoboda_AR58,58,83,11659,https://digitalcollections.lib.washington.edu/digital/api/singleitem/image/iraqdiaries/11659/default.jpg
Svoboda_AR59,59,82,11660,https://digitalcollections.lib.washington.edu/digital/api/singleitem/image/iraqdiaries/11660/default.jpg
Svoboda_AR60,60,81,11662,https://digitalcollections.lib.washington.edu/digital/api/singleitem/image/iraqdiaries/11662/default.jpg
Svoboda_AR61,61,80,11663,https://digitalcollections.lib.washington.edu/digital/api/singleitem/image/iraqdiaries/11663/default.jpg
Svoboda_AR62,62,79,11664,https://digitalcollections.lib.washington.edu/digital/api/singleitem/image/iraqdiaries/11664/default.jpg
Svoboda_AR63,63,78,11665,https://digitalcollections.lib.washington.edu/digital/api/singleitem/image/iraqdiaries/11665/default.jpg
Svoboda_AR64,64,77,11666,https://digitalcollections.lib.washington.edu/digital/api/singleitem/image/iraqdiaries/11666/default.jpg
Svoboda_AR65,65,76,11667,https://digitalcollections.lib.washington.edu/digital/api/singleitem/image/iraqdiaries/11667/default.jpg
Svoboda_AR66,66,75,11668,https://digitalcollections.lib.washington.edu/digital/api/singleitem/image/iraqdiaries/11668/default.jpg
Svoboda_AR67,67,74,11669,https://digitalcollections.lib.washington.edu/digital/api/singleitem/image/iraqdiaries/11669/default.jpg
Svoboda_AR68,68,73,11670,https://digitalcollections.lib.washington.edu/digital/api/singleitem/image/iraqdiaries/11670/default.jpg
Svoboda_AR69,69,72,11671,https://digitalcollections.lib.washington.edu/digital/api/singleitem/image/iraqdiaries/11671/default.jpg
Svoboda_AR70,70,71,11673,https://digitalcollections.lib.washington.edu/digital/api/singleitem/image/iraqdiaries/11673/default.jpg
Svoboda_AR71,71,70,11674,https://digitalcollections.lib.washington.edu/digital/api/singleitem/image/iraqdiaries/11674/default.jpg
Svoboda_AR72,72,69,11675,https://digitalcollections.lib.washington.edu/digital/api/singleitem/image/iraqdiaries/11675/default.jpg
Svoboda_AR73,73,68,11676,https://digitalcollections.lib.washington.edu/digital/api/singleitem/image/iraqdiaries/11676/default.jpg
Svoboda_AR74,74,67,11677,https://digitalcollections.lib.washington.edu/digital/api/singleitem/image/iraqdiaries/11677/default.jpg
Svoboda_AR75,75,66,11678,https://digitalcollections.lib.washington.edu/digital/api/singleitem/image/iraqdiaries/11678/default.jpg
Svoboda_AR76,76,65,11679,https://digitalcollections.lib.washington.edu/digital/api/singleitem/image/iraqdiaries/11679/default.jpg
Svoboda_AR77,77,64,11680,https://digitalcollections.lib.washington.edu/digital/api/singleitem/image/iraqdiaries/11680/default.jpg
Svoboda_AR78,78,63,11681,https://digitalcollections.lib.washington.edu/digital/api/singleitem/image/iraqdiaries/11681/default.jpg
Svoboda_AR79,79,62,11682,https://digitalcollections.lib.washington.edu/digital/api/singleitem/image/iraqdiaries/11682/default.jpg
Svoboda_AR80,80,61,11684,https://digitalcollections.lib.washington.edu/digital/api/singleitem/image/iraqdiaries/11684/default.jpg
Svoboda_AR81,81,60,11685,https://digitalcollections.lib.washington.edu/digital/api/singleitem/image/iraqdiaries/11685/default.jpg
Svoboda_AR82,82,59,11686,https://digitalcollections.lib.washington.edu/digital/api/singleitem/image/iraqdiaries/11686/default.jpg
Svoboda_AR83,83,58,11687,https://digitalcollections.lib.washington.edu/digital/api/singleitem/image/iraqdiaries/11687/default.jpg
Svoboda_AR84,84,57,11688,https://digitalcollections.lib.washington.edu/digital/api/singleitem/image/iraqdiaries/11688/default.jpg
Svoboda_AR85,85,56,11689,https://digitalcollections.lib.washington.edu/digital/api/singleitem/image/iraqdiaries/11689/default.jpg
Svoboda_AR86,86,55,11690,https://digitalcollections.lib.washington.edu/digital/api/singleitem/image/iraqdiaries/11690/default.jpg
